Domanda,A,B,C,Corretta
181 - Qual è il bene giuridico tutelato nei delitti contro l’amministrazione della giustizia?,"L’interesse all’acquisizione della notizia criminosa da parte dell’Autorità Giudiziaria, affinché la stessa sia messa in condizione di esercitare correttamente l’azione penale",L’interesse che la procedura di notificazione venga correttamente eseguita da parte del soggetto incaricato,L’interesse a che l’imputato non menta nel corso dell’interrogatorio,A
182 - Quali possono essere i soggetti attivi dei delitti contro l’amministrazione della giustizia?,I reati contro l’amministrazione della giustizia sono stati depenalizzati,"Essendo reati propri, soltanto determinati soggetti che per le funzioni svolte sono posti in particolare relazione con l’interesse tutelato, ovvero pubblico ufficiale ed incaricato di pubblico servizio","Qualunque soggetto, trattandosi di reati comuni",A
"183 - Il dolo rappresenta il normale criterio dell’imputazione soggettiva. Componenti proprie dell’elemento psicologico del dolo sono rappresentazione e volontà, in ordine alle quali è corretto affermare che","La sufficienza dello stato di dubbio, ai fini dell’esistenza del dolo, è da escludere laddove la norma esiga la piena conoscenza di uno o più elementi del fatto di reato",Il dolo non è previsto dal nostro ordinamento giuridico,In ogni caso è sufficiente lo stato di dubbio per la configurazione del dolo,A
184 - Quale titolo del Libro II del codice penale è dedicato ai Delitti contro l’Amministrazione della Giustizia?,Titolo III,Titolo II,Titolo I,B
185 - Quando si configura il delitto di omessa denuncia di reato da parte del cittadino?,"Nel caso di delitto contro la personalità dello Stato, per il quale la legge stabilisce l’ergastolo",Sempre,Mai,B
186 - La nozione di Pubblico Ufficiale da quale articolo è fornita?,rt. 359 c.p,Art. 357 c.p.,Art. 360 c.p,B
187 - Il dolo è specifico quando,"Oltre alla previsione e volontà di tutti gli elementi che compongono il reato, è necessario che l’agente si sia prefisso anche un fine ulteriore",È sufficiente una previsione generica degli elementi costitutivi del fatto di reato,Non esiste questa particolare forma di dolo,C
188 - Il dolo è generico,Non esiste questa particolare forma di dolo,"Quando ai fini della punibilità, è sufficiente che l’agente abbia previsto e voluto tutti gli elementi che compongono il reato","Quando oltre alla previsione e volontà di tutti gli elementi che compongono il reato, è necessario che l’agente si sia prefisso anche un fine ulteriore",A
189 - I reati speciali o propri:,Sono quei reati per il quale la legge richiede una speciale qualifica del soggetto attivo. Essi a loro volta si distinguono in reati propri esclusivi e reati propri non esclusivi,Sono quei reati per i quali la legge non richiede nessuna speciale qualifica del soggetto attivo,Non esiste questa tipologia di reati,A
190 - L’art. 361 c.p. contempla un’aggravante di carattere soggettivo?,"Sì, al secondo comma, prevedendo che se il colpevole è un ufficiale o un agente di polizia giudiziaria che ha avuto notizia di un reato del quale doveva fare rapporto, la pena è della reclusione fino a due anni",L’art. 361 c.p. non contempla nessuna aggravante di carattere soggettivo,"Sì, al secondo comma, prevedendo che se il colpevole è un ufficiale o un agente di polizia giudiziaria che ha avuto notizia di un reato del quale doveva fare rapporto, la pena è della reclusione fino ad un anno",B
191 - Qual è l’oggetto materiale su cui incidono le condotte criminose descritte nel Capo III del Titolo VII del Libro II del Codice Penale?,Nessun oggetto materiale,La persona,Il documento,A
"192 - Cosa si intende, secondo l’orientamento prevalente, per fede pubblica?",La fiducia riposta nell’Autorità Giudiziaria nell’ambito di un procedimento penale,La fiducia che la collettività ripone nelle istituzioni democratiche,Si intende la fiducia che la collettività ripone in determinati oggetti o simboli sulla cui veridicità deve potersi fare affidamento per rendere più sicuro ed affidabile il traffico giuridico ed economico,B
"193 - L’art. 476 c.p., sanzionando la condotta del P.U. che commette falsità materiale in atti pubblici…",Descrive una fattispecie di reato comune,Tale fattispecie non è prevista dal c.p,Descrive una fattispecie di reato proprio,A
"194 - Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, contraffa o altera certificati o autorizzazioni amministrative [...] è responsabile del delitto di…",Falsità materiale commessa dal pubblico ufficiale in certificati o autorizzazioni amministrative,Peculato,oncussione,A
"195 - Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, forma un atto falso o altera un atto vero, è responsabile del reato di…",Falsità ideologica commessa dal Pubblico Ufficiale in atti pubblici,Non viene commessa nessuna fattispecie di reato,Falsità materiale commessa dal pubblico ufficiale in atti pubblici,A
"196 - Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, supponendo esistente un atto pubblico o privato, ne simula una copia e la rilascia in forma legale ovvero rilascia una copia di un atto pubblico o privato diversa dall’originale è responsabile del delitto di…",Peculato,Falsità materiale commessa dal pubblico ufficiale in copie autentiche di atti pubblici o privati e in attestati del contenuto di atti,Falsità materiale commessa dal Pubblico Ufficiale in atti pubblici,A
"197 - Il pubblico ufficiale, che, ricevendo o formando un atto nell’esercizio delle sue funzioni, attesta falsamente che un fatto è stato da lui compiuto o è avvenuto alla sua presenza è responsabile del delitto di…",Concussione,Falsità materiale commessa dal Pubblico Ufficiale in atti pubblici,Falsità ideologica commessa dal pubblico ufficiale in atti pubblici,A
198 - La nozione di Pubblico Ufficiale da quale articolo è fornita?,rt. 360 c.p,Art. 359 c.p.,Art. 357 c.p,A
199 - Il delitto di falsità materiale commessa dal Pubblico Ufficiale in atti pubblici da quale articolo è previsto?,rt. 478 c.p,Art. 476 c.p.,Il codice penale non contempla tale fattispecie di reato,A
200 - Nel falso materiale il documento…,"È manomesso nella sua essenza materiale, ovvero nella sua genuinità",È pienamente autentico,"Pur provenendo dal soggetto che risulta esserne l’autore, contiene dichiarazioni menzognere",A
201 - Qual è il bene giuridico tutelato dal reato di omicidio?,La vita,L’onore,Il patrimonio,A
202 - Quando operano la colpa e la preterintenzione?,In assenza di indicazione normativa,Operano solo nei casi espressamente previsti dalla legge,Solo per i reati contro patrimonio,A
203 - Quali sono le ipotesi di preterintenzione previste dal nostro ordinamento?,Lesioni e percosse,L’aborto e l’omicidio,Furto e rapina,B
204 - Qual è la caratteristica della colpa cosciente?,Il dolo misto a colpa,La previsione dell’evento,La negligenza,B
205 - Rappresentazione e volontà sono le componenti psicologiche di quale criterio di attribuzione soggettiva del reato?,Preterintenzione,Dolo,Colpa,A
"206 - Secondo la teoria del dolo misto a colpa, la morte della vittima a quale titolo è attribuita?",titolo di colpa,A titolo di dolo,A titolo di responsabilità oggettiva,A
"207 - In base alle regole cautelari violate, la colpa si distingue in?",Colpa cosciente e incosciente,Colpa generica e specifica,Colpa propria e impropria,A
208 - Secondo la teoria del dolo misto a responsabilità oggettiva la morte della vittima a quale titolo è attribuita?,titolo di colpa,A titolo di dolo,A titolo di responsabilità oggettiva,A
209 - Perché l’omicidio si definisce reato istantaneo?,Perché è ammesso il tentativo,Perché è un reato sia a condotta attiva che omissiva,Perché l’offesa si consuma nel momento del decesso,B
210 - Nell’omicidio preterintenzionale il soggetto compie atti diretti a commettere quali reati?,Lesioni o percosse,Minaccia o violenza privata,Rapina o furto,A
211 - Il delitto di furto è un reato proprio?,Solo in presenza di aggravanti,Sì,No,B
212 - Costituiscono oggetto materiale del reato di furto,Cose mobili ed immobili altrui,Cose mobili altrui,ose mobili di elevato valore economico,A
213 - Qual è l’elemento soggettivo del reato di furto?,La preterintenzione,Il dolo,La colpa,B
214 - In che cosa consiste il dolo specifico nel delitto di furto?,"Il fine di un profitto per sé o per altri, ossia di percepirne un’utilità diretta, di carattere anche non economico.",Nel fine di procurare a sé l’impunità,Nel fine di procurare ad altri un prezzo,B
215 - In caso di furto si procede a seguito di querela di parte?,"Sì, ma se la persona offesa è incapace, per età o per infermità, ovvero se ricorre taluna delle circostanze di cui all’art.625, numeri 7, salvo che il fatto sia commesso su cose esposte alla pubblica fede, e 7 bis, si procede d’ufficio",No,Sì,B
216 - Il reato di rapina è:,Comune,Comune se avviene di giorno,Indeterminato,B
217 - Quali figure di rapina esistono?,Rilevante e irrilevante,Specifica e generica,Propria e impropria,B
"218 - Nel reato di rapina, è prevista la circostanza aggravante speciale:",della particolare gravità,del mezzo di pubblico trasporto,del soggetto passivo straniero,B
"219 - Per il caso di rapina, è consentito il fermo ai sensi dell’art. 384, c.p.p.?",Sì,No,A discrezione dell’Autorità Giudiziaria,C
"220 - Perché si configuri una rapina, la violenza o la minaccia può anche rivolgersi verso terzi che sono un ostacolo per l'agente?",Sì,No,Solo se la violenza è elevata o la minaccia è esplicita,A
221 - Il delitto di usura è un reato comune?,No,Solo senza le aggravanti,Sì,C
222 - Lo stato di bisogno della vittima di usura è:,Un’attenuante,Un’aggravante,Un elemento essenziale per il reato,A
223 - Qual è l'elemento soggettivo del reato di usura?,La colpa,La preterintenzione,Il dolo,B
"224 - L’art. 644, co. 1, c.p. punisce:",chi si fa dare o promettere interessi o altri vantaggi usurari,chi si fa promettere interessi o altri vantaggi usurari,chi si fa dare interessi o altri vantaggi usurari,B
225 - Il delitto di usura punisce anche:,Il mediatore,Il rinforzatore,Il produttore,C
"226 - Il testo dell’art. 646 c.p., reato di appropriazione indebita, parla di:",Chiunque,Pubblico ufficiale,Incaricato di pubblico servizio,B
227 - L’oggetto materiale del delitto di appropriazione indebita è:,Denaro,"Denaro, cosa mobile altrui",Cosa mobile altrui,A
228 - Presupposto del reato di appropriazione indebita è:,L’identità del proprietario della cosa,L’ignoranza della provenienza,Il possesso della cosa da parte dell’agente,A
"229 - Per il delitto di appropriazione indebita, è consentito il fermo ai sensi dell’art. 384, c.p.p.?",No,Sì,Dipende dal valore dell’oggetto materiale,C
"230 - Per il delitto di appropriazione indebita, l’arresto è:",discrezione del giudice,Obbligatorio,Facoltativo,C
231 - Il delitto di estorsione è un reato comune?,Sì,No,Solo se il soggetto attivo è ultrasessantacinquenne,C
232 - Nel delitto di estorsione la condotta dell'agente è:,Un inganno tramite artifizi e raggiri che conduce all'errore,Costringere tramite violenza,ostringere tramite violenza o minaccia,B
233 - Qual è l'elemento soggettivo del reato di estorsione?,Il dolo,La colpa,La preterintenzione,A
234 - Per il delitto di estorsione l'arresto è:,Facoltativo solo se l'autore del fatto è un cittadino dell'Unione Europea,Obbligatorio ex art. 380 c.p.p.,"Facoltativo, ex art. 381 c.p.p",C
235 - In caso di estorsione si procede:,D'ufficio,A querela di parte,A querela di parte se non vi sono aggravanti,C
236 - Il reato di truffa è:,semi offensivo,Pluri offensivo,Mono offensivo,B
237 - Il delitto di truffa è un reato proprio?,No,Sì,Può essere sia proprio che comune,A
"238 - Nel reato di truffa, è prevista la circostanza aggravante speciale:",di un ente pubblico,dello Stato,dello Stato o di un altro ente pubblico o dell’Unione Europea,B
"239 - Per il caso di truffa, è consentito il fermo ai sensi dell'art. 384, c.p.p.?",No,Sì,A discrezione dell'Autorità Giudiziaria,C
240 - Per il delitto di truffa la procedibilità è:,D'ufficio,A querela di parte,"A querela di parte, salvo ipotesi di cui al comma 3 dell’art. 640 C.P., nonché ipotesi di cui all’art. 649 bis",C
241 - A quale categoria appartengono i maltrattamenti in famiglia?,Reati contro la persona,Reati contro la famiglia,Reati contro l’ordine pubblico,C
242 - Un singolo episodio di violenza domestica può configurare il reato di maltrattamenti?,"Sì, purché causi uno stato di malattia nel soggetto passivo","No, servono condotte abituali che causino sofferenze fisiche e/o mentali",Sì,A
"243 - In quali tipologie di rapporto, tra autore e vittima, si inseriscono le condotte previste dall’articolo 572 del codice penale?",Di semplice conoscenza,Di amicizia,"Di familiarità o di sottoposizione all’autorità o all’affidamento per ragioni di educazione, cura, vigilanza o custodia",B
244 - È applicabile l’art. 572 c.p. all’interno delle cosiddette “famiglie di fatto”?,Sì,"No, tranne nel caso in cui i componenti del nucleo siano dello stesso sesso","No, mai",A
245 - Nel delitto di maltrattamenti in famiglia la condotta del soggetto attivo può essere:,Solo omissiva,Solo attiva,"Attiva e, in particolari casi, anche omissiva",C
246 - È prevista una ipotesi colposa per il reato di maltrattamenti in famiglia?,No,"Sì, ma solo se la vittima è un minore degli anni 14",Sì,B
247 - L’allontanamento urgente dalla casa familiare di cui all’art. 384 bis c.p.p.:,Può essere disposto dal giudice per le indagini preliminari su richiesta del pubblico ministero in caso di pericolo di reiterazione di gravi reati,"Può essere disposto, unitamente al divieto di avvicinamento ai luoghi abitualmente frequentati dalla persona offesa, da ufficiali e agenti di polizia giudiziaria nella flagranza di reati specifici, tra cui il reato di maltrattamenti contro familiari e conviventi",Può essere disposto unitamente al divieto di avvicinamento ai luoghi abitualmente frequentati dalla persona offesa da ufficiali di polizia giudiziaria nella flagranza di reati specifici tra cui il reato di maltrattamenti contro familiari e conviventi,C
248 - I delitti previsti dagli artt. 571 e 572 c.p. sono:,Entrambi dolosi,Il primo doloso e il secondo preterintenzionale,Il primo colposo e il secondo doloso,A
249 - Nel delitto di maltrattamenti in famiglia si procede:,Sempre a querela,Sempre d’ufficio,"A querela per le ipotesi semplici, d’ufficio per quelle aggravate",B
250 - Si procede all’arresto per il reato in argomento?,"No, a meno che la vittima sia minorenne","No, mai","Sì, è obbligatorio",A
251 - Gli Ufficiali della Guardia di Finanza:,sono tutti Ufficiali di p.g.,sono tutti Agenti di p.g.,non hanno funzioni di p.g. ma solo di Polizia Tributaria,A
252 - Un Vice Sovrintendente è:,"in alcune circostanze è Agente, in altre è Ufficiale di P.G.",un Agente di P.G.,un Ufficiale di P.G.,A
253 - La censura è una sanzione disciplinare che può essere inflitta:,solo agli Agenti di p.g.,solo agli Ufficiali di p.g.,sia agli Ufficiali che agli Agenti di p.g.,A
254 - Che cosa sono i Servizi di Polizia Giudiziaria?,Sono uffici presenti presso le Procure,Sono Uffici a cui sono assegnati solo Ufficiali di p.g. per svolgere l’attività di polizia giudiziaria,"Sono Uffici ed Unità ai quali è affidato il compito di svolgere, in via prioritaria e continuativa, le funzioni di polizia giudiziaria",A
255 - L’Agente di P.G. che non riferisce dolosamente una notizia di reato è punito:,con una sanzione penale,solo con una sanzione disciplinare,con il trasferimento ad un servizio che non preveda lo svolgimento di attività,A
256 - Il Sindaco è un Ufficiale di P.G.:,mai,sempre,"solo se nel suo comune non c’è un Ufficio di Polizia, Carabinieri o Guardia di Finanza",B
257 - Da chi dipende funzionalmente la Polizia Giudiziaria?,Dal P.M.,Dal Questore,Dal Ministro di Grazia e Giustizia,B
258 - Una sezione di P.G. può essere costituita presso:,la Questura,la Procura della Repubblica presso il Tribunale,la Procura Generale della Repubblica presso la Corte d’Appello,B
259 - Un vigile del fuoco è:,svolge funzioni di p.g. solo se riceve un apposito incarico da parte del P.M.,un Agente di p.g. a competenza generale,un Agente di p.g. a competenza limitata,A
260 - La Polizia Giudiziaria deve:,"prendere notizia dei reati, ricercarne gli autori, compiere gli atti necessari ad assicurare le fonti di prova",solo ricercare gli autori del reato,solo prendere notizia dei reati,B
261 - La P.G. svolge attività investigativa d’iniziativa:,solo su richiesta della persona offesa,obbligatoriamente,facoltativamente,A
262 - L’attività d’iniziativa della polizia giudiziaria è svolta:,solo nella fase delle indagini preliminari,solo nella fase del dibattimento,prevalentemente nella fase delle indagini preliminari,B
263 - La Polizia Giudiziaria nell’ambito dell’attività d’iniziativa compie:,atti investigativi tipici,atti investigativi tipici ed atipici,atti investigativi atipici,B
264 - L’attività investigativa d’iniziativa della P.G. è finalizzata:,alla ricerca del latitante,"ad individuare ed assicurare le fonti di prova per permettere al Pubblico Ministero, sulla base degli elementi raccolti, di decidere se esercitare o meno l’azione penale",alla ricerca dell’imputato,B
"265 - Nel caso in cui il P.M. abbia già assunto la direzione delle indagini, l’attività d’iniziativa della P.G.:",è consentita,è vietata,deve essere preventivamente autorizzata dal G.I.P. su richiesta della stessa P.G,B
"266 - Nel caso in cui il Pubblico Ministero abbia già assunto la direzione delle indagini, il compimento di atti di iniziativa:",non deve contrastare con le direttive impartite dal P.M. e deve essere caratterizzato dalla necessità e dall’urgenza,può contrastare con le direttive impartite dal P.M. ma deve essere caratterizzato dalla necessità e dall’urgenza,può contrastare con le direttive impartite dal P.M. e non è necessario che sia caratterizzato dalla necessità e dall’urgenza,A
267 - Il Pubblico Ministero può espressamente vietare alla Polizia Giudiziaria di compiere determinati atti?,dipende dalla fase processuale in cui deve essere eseguito l’atto,no,sì,B
"268 - Quando la Polizia Giudiziaria esegue indagini d’iniziativa dopo che il Pubblico Ministero ha assunto la direzione delle indagini, ha l’obbligo di informare il Pubblico Ministero?",no,dipende dalla fase processuale in cui deve essere eseguito l’atto,sì,A
269 - L’autorità Giudiziaria può delegare alla P.G. qualsiasi tipo di atto?,sì,no,dipende dalla fase processuale in cui deve essere eseguito l’atto,A
"270 - L’omissione, il ritardo, la negligenza nell’esecuzione di ordini, impartiti dall’Autorità Giudiziaria costituiscono comportamenti omissivi, censurabili:",solo penalmente,penalmente e disciplinarmente,solo disciplinarmente,A
271 - Che cosa significa documentare l’attività di polizia giudiziaria?,annotare e registrare tutte le attività di indagine svolte dalla Polizia Giudiziaria,riportare su supporto informatico gli elementi di indagine raccolti ad eccezione delle fonti di prova,trasferire su file audio le registrazioni di intercettazioni telefoniche,B
"272 - A chi è destinata, in via prioritaria, la documentazione dell’attività di polizia giudiziaria?",al Tribunale in composizione collegiale,ai difensori della parte offesa,al Pubblico Ministero titolare dell’indagine,A
273 - Che utilizzabilità processuale ha la relazione di servizio quando contiene notizie di reato o documenta attività di indagine?,fa piena fede fino a prova contraria,ha unicamente rilevanza interna e dunque non ha rilievo processuale,è inserita nel fascicolo del P.M. e ne è data lettura in dibattimento in caso di contestazioni,B
274 - La perquisizione è un atto ripetibile?,è un atto atipico,sì,no,B
275 - Quali sono le differenze tra annotazione e relazione di servizio?,"a differenza della relazione di servizio, l’annotazione costituisce piena prova essendo atto a fede privilegiata","non vi sono differenze, provenendo entrambi gli atti dalla Polizia Giudiziaria",la relazione di servizio è prevalentemente un atto interno e si rivolge al dirigente dell’ufficio; l’annotazione è atto esterno ed è rivolta all’Autorità Giudiziaria,A
276 - L’interrogatorio delegato dell’indagato in stato di libertà può essere reso mediante annotazione?,"no, deve essere reso mediante verbale",solo se videoregistrato,sì,B
277 - L’annotazione ed il verbale hanno la stessa efficacia processuale?,solo l’annotazione è atto a fede privilegiata e costituisce piena prova fino a querela di falso,"sì, hanno la stessa efficacia processuale",solo il verbale è atto a fede privilegiata e costituisce piena prova fino a querela di falso,B
278 - Il Pubblico Ministero è:,il titolare dell’azione penale,l’esecutore materiale degli atti di Polizia Giudiziaria,"il dominus dell’indagine, che tuttavia non può conoscere se non previa autorizzazione del giudice",A
279 - Gli atti di P.G. ripetibili riguardano attività che:,possono essere replicate senza alterarne il contenuto,possono essere replicate ma se ne altera il contenuto,non possono essere replicate,C
280 - L’attività di polizia giudiziaria può essere:,discrezionale o vincolata,di iniziativa o delegata,procedurale o sostanziale,A
281 - La Polizia Giudiziaria prende notizia dei reati:,Solo di propria iniziativa,Anche di propria iniziativa,Non di propria iniziativa,C
282 - La notizia di reato può essere:,Non qualificata e tipica,Qualificata o non qualificata,"Qualificata, tempestiva ed esaustiva",C
283 - La denuncia riguarda:,i referti,i reati procedibili a querela,i reati procedibili d’ufficio,B
284 - Le Forze dell'Ordine sono pubblici ufficiali?,"No, sono incaricati di pubblico servizio",Sì,"No, sono esercenti un servizio di pubblica necessità",B
285 - La denuncia è revocabile?,è revocabile quando è soggetta a condizione di procedibilità,sì,no,B
286 - Quando il referto esporrebbe la persona assistita a procedimento penale:,È sottoposto al vaglio del P.M,Non è obbligatorio,È obbligatorio,B
287 - Il termine per proporre la querela è:,Sempre di tre mesi,"Tre, sei o dodici mesi a seconda dei reati",Termine non soggetto a condizioni,A
288 - L’istanza di procedimento è:,Una condizione di procedibilità e un atto informativo,Una istanza del P.M. per l’esercizio dell’azione penale,La domanda di punizione di un delitto commesso in Italia,C
289 - Gli atti di P.G. ripetibili riguardano attività che:,Possono essere replicate ma se ne altera il contenuto,Non possono essere replicate,Possono essere replicate senza alterarne il contenuto,C
290 - Il termine per l’espletamento delle indagini preliminari decorre:,Dal primo atto di indagine cui ha diritto di assistere il difensore,Dall’iscrizione nel registro delle notizie di reato,Dall’imputazione,C
291 - I sindaci sono:,solo ufficiali di pubblica sicurezza,sempre autorità locali di pubblica sicurezza,autorità locali di pubblica sicurezza nei comuni privi di ufficio distaccato di polizia,C
292 - Il Ministro dell’Interno è:,utorità centrale di pubblica sicurezza,Autorità nazionale di pubblica sicurezza,Autorità statale di ordine pubblico,A
293 - L’Autorità di pubblica sicurezza,veglia al mantenimento dell’ordine pubblico e della sicurezza complementare,veglia al mantenimento dell’ordine pubblico e alla sicurezza dei cittadini,veglia al mantenimento dell’ordine pubblico e della sicurezza urbana,C
294 - I prefetti sono Autorità provinciali di pubblica sicurezza,a livello pianificatorio e di impiego delle forze di polizia,a livello politico-generale,a livello tecnico-operativo,A
295 - Sono autorità regionali di pubblica sicurezza:,i questori dei capoluoghi di regione,i prefetti dei capoluoghi di regione,i prefetti dei capoluoghi di provincia,A
296 - Il capo della polizia – direttore generale della pubblica sicurezza è:,preposto al dipartimento della pubblica sicurezza,autorità centrale di pubblica sicurezza,autorità nazionale di pubblica sicurezza,A
297 - La sicurezza urbana è:,bene pubblico afferente all’ordine pubblico,bene pubblico afferente alla sicurezza regionale,bene pubblico che afferisce alla vivibilità ed al decoro delle città,A
298 - Il dipartimento della pubblica sicurezza provvede:,all’attuazione materiale dei provvedimenti del Ministro dell’Interno,all’attuazione della politica in materia di ordine pubblico e sicurezza pubblica,all’attuazione della politica in materia di sicurezza urbana,A
299 - Il comitato nazionale dell’ordine pubblico e della sicurezza pubblica è:,organo ausiliario di amministrazione attiva del dipartimento di pubblica sicurezza,organo ausiliario di consulenza del Ministro dell’Interno,organo straordinario di pubblica sicurezza,A
300 - Gli ufficiali della guardia di finanza sono:,autorità di pubblica sicurezza in materia di polizia tributaria,ufficiali di pubblica sicurezza,agenti di pubblica sicurezza,A
